UID          PID    PPID     LWP  C NLWP STIME TTY          TIME CMD
root         150       2     150  0    1 15:43 ?        00:00:00 [kworker/R-kintegrityd]
root         151       2     151  0    1 15:43 ?        00:00:00 [kworker/R-kblockd]
root         152       2     152  0    1 15:43 ?        00:00:00 [kworker/R-blkcg_punt_bio]
root         153       2     153  0    1 15:43 ?        00:00:00 [irq/9-acpi]
root         154       2     154  0    1 15:43 ?        00:00:00 [kworker/16:1-events]
root         155       2     155  0    1 15:43 ?        00:00:00 [kworker/1:1-cgroup_bpf_destroy]
root         156       2     156  0    1 15:43 ?        00:00:00 [kworker/2:1-kacpi_notify]
root         157       2     157  0    1 15:43 ?        00:00:00 [kworker/17:1-events]
root         158       2     158  0    1 15:43 ?        00:00:00 [kworker/R-tpm_dev_wq]
root         159       2     159  0    1 15:43 ?        00:00:00 [kworker/R-ata_sff]
root         160       2     160  0    1 15:43 ?        00:00:00 [kworker/R-md]
root         161       2     161  0    1 15:43 ?        00:00:00 [kworker/R-md_bitmap]
root         162       2     162  0    1 15:43 ?        00:00:00 [kworker/R-edac-poller]
root         163       2     163  0    1 15:43 ?        00:00:00 [kworker/R-devfreq_wq]
root         164       2     164  0    1 15:43 ?        00:00:00 [watchdogd]
root         165       2     165  0    1 15:43 ?        00:00:00 [kworker/17:1H-kblockd]
root         166       2     166  0    1 15:43 ?        00:00:00 [kswapd0]
root         167       2     167  0    1 15:43 ?        00:00:00 [ecryptfs-kthread]
root         168       2     168  0    1 15:43 ?        00:00:00 [kworker/R-kthrotld]
root         169       2     169  0    1 15:43 ?        00:00:00 [irq/123-aerdrv]
root         170       2     170  0    1 15:43 ?        00:00:00 [kworker/R-acpi_thermal_pm]
root         172       2     172  0    1 15:43 ?        00:00:00 [kworker/15:1]
root         173       2     173  0    1 15:43 ?        00:00:00 [hwrng]
root         174       2     174  0    1 15:43 ?        00:00:00 [kworker/R-hfi-updates]
root         176       2     176  0    1 15:43 ?        00:00:00 [kworker/R-mld]
root         177       2     177  0    1 15:43 ?        00:00:00 [kworker/8:1H-i915_cleanup]
root         178       2     178  0    1 15:43 ?        00:00:00 [kworker/R-ipv6_addrconf]
root         180       2     180  0    1 15:43 ?        00:00:00 [kworker/4:1-mm_percpu_wq]
root         186       2     186  0    1 15:43 ?        00:00:00 [kworker/R-kstrp]
root         187       2     187  0    1 15:43 ?        00:00:00 [kworker/3:1-events]
root         188       2     188  0    1 15:43 ?        00:00:00 [kworker/10:1-mm_percpu_wq]
root         189       2     189  0    1 15:43 ?        00:00:00 [kworker/12:1-events]
root         190       2     190  0    1 15:43 ?        00:00:00 [kworker/13:1-events]
root         191       2     191  0    1 15:43 ?        00:00:00 [kworker/14:1-mm_percpu_wq]
root         192       2     192  0    1 15:43 ?        00:00:00 [kworker/18:1-mm_percpu_wq]
root         194       2     194  0    1 15:43 ?        00:00:00 [kworker/11:1-events]
root         195       2     195  0    1 15:43 ?        00:00:00 [kworker/19:1-events]
root         198       2     198  0    1 15:43 ?        00:00:01 [kworker/u81:0-rtw_tx_wq]
root         212       2     212  0    1 15:43 ?        00:00:00 [kworker/R-charger_manager]
root         215       2     215  0    1 15:43 ?        00:00:00 [kworker/0:1H-i915_cleanup]
root         239       2     239  0    1 15:43 ?        00:00:00 [kworker/16:1H-i915_cleanup]
root         242       2     242  0    1 15:43 ?        00:00:00 [kworker/6:1H-i915_cleanup]
root         262       2     262  0    1 15:43 ?        00:00:00 [kworker/10:1H-i915_cleanup]
root         263       2     263  0    1 15:43 ?        00:00:00 [kworker/4:1H-i915_cleanup]
root         264       2     264  0    1 15:43 ?        00:00:00 [kworker/12:1H-i915_cleanup]
root         266       2     266  0    1 15:43 ?        00:00:00 [kworker/5:1H-kblockd]
root         267       2     267  0    1 15:43 ?        00:00:00 [kworker/15:1H-i915_cleanup]
root         271       2     271  0    1 15:43 ?        00:00:00 [kworker/9:1H-kblockd]
root         274       2     274  0    1 15:43 ?        00:00:00 [kworker/2:1H-i915_cleanup]
root         277       2     277  0    1 15:43 ?        00:00:00 [kworker/18:1H-i915_cleanup]
root         284       2     284  0    1 15:43 ?        00:00:00 [kworker/19:1H-kblockd]
root         285       2     285  0    1 15:43 ?        00:00:00 [kworker/13:1H-events_highpri]
root         310       2     310  0    1 15:43 ?        00:00:00 [kworker/7:1H-kblockd]
root         311       2     311  0    1 15:43 ?        00:00:00 [kworker/1:1H-i915_cleanup]
root         313       2     313  0    1 15:43 ?        00:00:00 [kworker/14:1H-i915_cleanup]
root         315       2     315  0    1 15:43 ?        00:00:00 [kworker/9:2]
root         316       2     316  0    1 15:43 ?        00:00:00 [kworker/11:1H-i915_cleanup]
root         317       2     317  0    1 15:43 ?        00:00:00 [kworker/3:1H-kblockd]
root         344       2     344  1    1 15:43 ?        00:00:19 [irq/40-ASUP1304:00]
root         345       2     345  0    1 15:43 ?        00:00:00 [kworker/5:2-events]
root         347       2     347  0    1 15:43 ?        00:00:00 [irq/151-aerdrv]
root         348       2     348  0    1 15:43 ?        00:00:00 [kworker/7:1-mm_percpu_wq]
root         349       2     349  0    1 15:43 ?        00:00:00 [kworker/R-nvme-wq]
root         350       2     350  0    1 15:43 ?        00:00:00 [kworker/R-nvme-reset-wq]
root         351       2     351  0    1 15:43 ?        00:00:00 [kworker/R-nvme-delete-wq]
root         352       2     352  0    1 15:43 ?        00:00:00 [kworker/R-nvme-auth-wq]
root         353       2     353  0    1 15:43 ?        00:00:00 [spi0]
root         389       2     389  0    1 15:43 ?        00:00:00 [kworker/8:1-events]
root         411       2     411  0    1 15:43 ?        00:00:00 [jbd2/nvme0n1p7-8]
root         412       2     412  0    1 15:43 ?        00:00:00 [kworker/R-ext4-rsv-conversion]
root         462       1     462  0    1 15:43 ?        00:00:00 /usr/lib/systemd/systemd-journald
root         498       2     498  0    1 15:43 ?        00:00:00 [kworker/14:2-cgroup_bpf_destroy]
root         539       1     539  0    1 15:43 ?        00:00:00 /usr/lib/systemd/systemd-udevd
root         562       2     562  0    1 15:43 ?        00:00:00 [psimon]
root         583       2     583  0    1 15:43 ?        00:00:03 [kworker/u80:6-kvfree_rcu_reclaim]
root         584       2     584  0    1 15:43 ?        00:00:02 [kworker/u80:7-kvfree_rcu_reclaim]
root         597       2     597  0    1 15:43 ?        00:00:03 [kworker/u80:16-kvfree_rcu_reclaim]
root         640       2     640  0    1 15:43 ?        00:00:00 [kworker/13:2-events]
root         646       2     646  0    1 15:43 ?        00:00:00 [kworker/19:2-cgroup_destroy]
root         654       2     654  0    1 15:43 ?        00:00:00 [irq/169-mei_me]
root         655       2     655  0    1 15:43 ?        00:00:00 [kworker/0:2-events]
root         660       2     660  0    1 15:43 ?        00:00:00 [kworker/R-cfg80211]
root         668       2     668  0    1 15:43 ?        00:00:00 [kworker/12:2-rcu_gp]
root         675       2     675  0    1 15:43 ?        00:00:00 [kworker/R-cryptd]
root         702       2     702  0    1 15:43 ?        00:00:00 [irq/16-processor_thermal_device_pci]
root         709       2     709  0    1 15:43 ?        00:00:00 [kworker/R-led_workqueue]
root         712       2     712  0    1 15:43 ?        00:00:00 [kworker/7:2-mm_percpu_wq]
root         734       2     734  0    1 15:43 ?        00:00:00 [kworker/R-ttm]
root         738       2     738  0    1 15:43 ?        00:00:00 [card1-crtc0]
root         739       2     739  0    1 15:43 ?        00:00:00 [card1-crtc1]
root         740       2     740  0    1 15:43 ?        00:00:00 [card1-crtc2]
root         741       2     741  0    1 15:43 ?        00:00:00 [card1-crtc3]
root         742       2     742  0    1 15:43 ?        00:00:00 [kworker/6:2-mm_percpu_wq]
root         743       2     743  2    1 15:43 ?        00:00:48 [irq/171-rtw88_pci]
systemd+     885       1     885  0    1 15:43 ?        00:00:00 /usr/lib/systemd/systemd-oomd
systemd+     887       1     887  0    1 15:43 ?        00:00:00 /usr/lib/systemd/systemd-resolved
systemd+     888       1     888  0    2 15:43 ?        00:00:00 /usr/lib/systemd/systemd-timesyncd
systemd+     888       1     990  0    2 15:43 ?        00:00:00 /usr/lib/systemd/systemd-timesyncd
root        1013       2    1013  0    1 15:43 ?        00:00:00 [kworker/11:2-events]
avahi       1057       1    1057  0    1 15:43 ?        00:00:11 avahi-daemon: running [rehan.local]
root        1058       1    1058  0    1 15:43 ?        00:00:00 /usr/libexec/bluetooth/bluetoothd
message+    1059       1    1059  0    1 15:43 ?        00:00:00 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
gnome-r+    1062       1    1062  0    4 15:43 ?        00:00:00 /usr/libexec/gnome-remote-desktop-daemon --system
gnome-r+    1062       1    1217  0    4 15:43 ?        00:00:00 /usr/libexec/gnome-remote-desktop-daemon --system
gnome-r+    1062       1    1221  0    4 15:43 ?        00:00:00 /usr/libexec/gnome-remote-desktop-daemon --system
gnome-r+    1062       1    1224  0    4 15:43 ?        00:00:00 /usr/libexec/gnome-remote-desktop-daemon --system
polkitd     1070       1    1070  0    4 15:43 ?        00:00:00 /usr/lib/polkit-1/polkitd --no-debug
polkitd     1070       1    1150  0    4 15:43 ?        00:00:00 /usr/lib/polkit-1/polkitd --no-debug
polkitd     1070       1    1151  0    4 15:43 ?        00:00:00 /usr/lib/polkit-1/polkitd --no-debug
polkitd     1070       1    1158  0    4 15:43 ?        00:00:00 /usr/lib/polkit-1/polkitd --no-debug
root        1073       1    1073  0    4 15:43 ?        00:00:00 /usr/libexec/power-profiles-daemon
root        1073       1    1111  0    4 15:43 ?        00:00:00 /usr/libexec/power-profiles-daemon
root        1073       1    1112  0    4 15:43 ?        00:00:00 /usr/libexec/power-profiles-daemon
root        1073       1    1154  0    4 15:43 ?        00:00:00 /usr/libexec/power-profiles-daemon
root        1079       1    1079  0   18 15:43 ?        00:00:00 /usr/lib/snapd/snapd
root        1079       1    1109  0   18 15:43 ?        00:00:00 /usr/lib/snapd/snapd
root        1079       1    1115  0   18 15:43 ?        00:00:00 /usr/lib/snapd/snapd
root        1079       1    1116  0   18 15:43 ?        00:00:00 /usr/lib/snapd/snapd
root        1079       1    1117  0   18 15:43 ?        00:00:00 /usr/lib/snapd/snapd
root        1079       1    1119  0   18 15:43 ?        00:00:00 /usr/lib/snapd/snapd
root        1079       1    1236  0   18 15:43 ?        00:00:00 /usr/lib/snapd/snapd
root        1079       1    1237  0   18 15:43 ?        00:00:00 /usr/lib/snapd/snapd
root        1079       1    1238  0   18 15:43 ?        00:00:00 /usr/lib/snapd/snapd
root        1079       1    1243  0   18 15:43 ?        00:00:00 /usr/lib/snapd/snapd
root        1079       1    1244  0   18 15:43 ?        00:00:00 /usr/lib/snapd/snapd
root        1079       1    1245  0   18 15:43 ?        00:00:00 /usr/lib/snapd/snapd
root        1079       1    1246  0   18 15:43 ?        00:00:00 /usr/lib/snapd/snapd
root        1079       1    1298  0   18 15:43 ?        00:00:00 /usr/lib/snapd/snapd
root        1079       1    1368  0   18 15:43 ?        00:00:00 /usr/lib/snapd/snapd
root        1079       1    1373  0   18 15:43 ?        00:00:00 /usr/lib/snapd/snapd
root        1079       1    2316  0   18 15:43 ?        00:00:00 /usr/lib/snapd/snapd
root        1079       1    2317  0   18 15:43 ?        00:00:00 /usr/lib/snapd/snapd
root        1084       1    1084  0    4 15:43 ?        00:00:00 /usr/libexec/accounts-daemon
root        1084       1    1120  0    4 15:43 ?        00:00:00 /usr/libexec/accounts-daemon
root        1084       1    1121  0    4 15:43 ?        00:00:00 /usr/libexec/accounts-daemon
root        1084       1    1155  0    4 15:43 ?        00:00:00 /usr/libexec/accounts-daemon
root        1085       1    1085  0    1 15:43 ?        00:00:00 /usr/sbin/cron -f -P
root        1087       1    1087  0    4 15:43 ?        00:00:00 /usr/libexec/switcheroo-control
root        1087       1    1110  0    4 15:43 ?        00:00:00 /usr/libexec/switcheroo-control
root        1087       1    1113  0    4 15:43 ?        00:00:00 /usr/libexec/switcheroo-control
root        1087       1    1153  0    4 15:43 ?        00:00:00 /usr/libexec/switcheroo-control
root        1089       1    1089  0    1 15:43 ?        00:00:00 /usr/lib/systemd/systemd-logind
root        1090       1    1090  0    5 15:43 ?        00:00:00 /usr/sbin/thermald --systemd --dbus-enable --adaptive
root        1090       1    1133  0    5 15:43 ?        00:00:00 /usr/sbin/thermald --systemd --dbus-enable --adaptive
root        1090       1    1134  0    5 15:43 ?        00:00:00 /usr/sbin/thermald --systemd --dbus-enable --adaptive
root        1090       1    1152  0    5 15:43 ?        00:00:00 /usr/sbin/thermald --systemd --dbus-enable --adaptive
root        1090       1    1157  0    5 15:43 ?        00:00:00 /usr/sbin/thermald --systemd --dbus-enable --adaptive
root        1091       1    1091  0    6 15:43 ?        00:00:00 /usr/libexec/udisks2/udisksd
root        1091       1    1118  0    6 15:43 ?        00:00:00 /usr/libexec/udisks2/udisksd
root        1091       1    1123  0    6 15:43 ?        00:00:00 /usr/libexec/udisks2/udisksd
root        1091       1    1156  0    6 15:43 ?        00:00:00 /usr/libexec/udisks2/udisksd
root        1091       1    1219  0    6 15:43 ?        00:00:00 /usr/libexec/udisks2/udisksd
root        1091       1    1240  0    6 15:43 ?        00:00:00 /usr/libexec/udisks2/udisksd
avahi       1099    1057    1099  0    1 15:43 ?        00:00:00 avahi-daemon: chroot helper
root        1107       2    1107  0    1 15:43 ?        00:00:00 [kworker/18:2-cgroup_destroy]
syslog      1161       1    1161  0    4 15:43 ?        00:00:00 /usr/sbin/rsyslogd -n -iNONE
syslog      1161       1    1210  0    4 15:43 ?        00:00:00 /usr/sbin/rsyslogd -n -iNONE
syslog      1161       1    1211  0    4 15:43 ?        00:00:00 /usr/sbin/rsyslogd -n -iNONE
syslog      1161       1    1212  0    4 15:43 ?        00:00:00 /usr/sbin/rsyslogd -n -iNONE
root        1168       1    1168  0    4 15:43 ?        00:00:00 /usr/sbin/NetworkManager --no-daemon
root        1168       1    1229  0    4 15:43 ?        00:00:00 /usr/sbin/NetworkManager --no-daemon
root        1168       1    1230  0    4 15:43 ?        00:00:00 /usr/sbin/NetworkManager --no-daemon
root        1168       1    1231  0    4 15:43 ?        00:00:00 /usr/sbin/NetworkManager --no-daemon
root        1171       1    1171  0    1 15:43 ?        00:00:00 /usr/sbin/wpa_supplicant -u -s -O DIR=/run/wpa_supplicant GROUP=netdev
root        1205       1    1205  0    4 15:43 ?        00:00:00 /usr/sbin/ModemManager
root        1205       1    1218  0    4 15:43 ?        00:00:00 /usr/sbin/ModemManager
root        1205       1    1220  0    4 15:43 ?        00:00:00 /usr/sbin/ModemManager
root        1205       1    1223  0    4 15:43 ?        00:00:00 /usr/sbin/ModemManager
root        1375       1    1375  0    1 15:43 ?        00:00:00 /usr/sbin/cupsd -l
root        1379       1    1379  0    2 15:43 ?        00:00:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
root        1379       1    1407  0    2 15:43 ?        00:00:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
lp          1399    1375    1399  0    1 15:43 ?        00:00:00 /usr/lib/cups/notifier/dbus dbus://
root        1401       1    1401  0    4 15:43 ?        00:00:00 /usr/sbin/gdm3
root        1401       1    1402  0    4 15:43 ?        00:00:00 /usr/sbin/gdm3
root        1401       1    1403  0    4 15:43 ?        00:00:00 /usr/sbin/gdm3
root        1401       1    1404  0    4 15:43 ?        00:00:00 /usr/sbin/gdm3
mysql       1409       1    1409  0   37 15:43 ?        00:00:00 /usr/sbin/mysqld
mysql       1409       1    1427  0   37 15:43 ?        00:00:00 /usr/sbin/mysqld
mysql       1409       1    1428  0   37 15:43 ?        00:00:00 /usr/sbin/mysqld
mysql       1409       1    1429  0   37 15:43 ?        00:00:00 /usr/sbin/mysqld
mysql       1409       1    1430  0   37 15:43 ?        00:00:00 /usr/sbin/mysqld
mysql       1409       1    1431  0   37 15:43 ?        00:00:00 /usr/sbin/mysqld
mysql       1409       1    1432  0   37 15:43 ?        00:00:00 /usr/sbin/mysqld
mysql       1409       1    1433  0   37 15:43 ?        00:00:00 /usr/sbin/mysqld
mysql       1409       1    1434  0   37 15:43 ?        00:00:00 /usr/sbin/mysqld
mysql       1409       1    1435  0   37 15:43 ?        00:00:00 /usr/sbin/mysqld
mysql       1409       1    1436  0   37 15:43 ?        00:00:00 /usr/sbin/mysqld
mysql       1409       1    1461  0   37 15:43 ?        00:00:00 /usr/sbin/mysqld
mysql       1409       1    1462  0   37 15:43 ?        00:00:01 /usr/sbin/mysqld
mysql       1409       1    1463  0   37 15:43 ?        00:00:01 /usr/sbin/mysqld
mysql       1409       1    1464  0   37 15:43 ?        00:00:01 /usr/sbin/mysqld
mysql       1409       1    1465  0   37 15:43 ?        00:00:01 /usr/sbin/mysqld
mysql       1409       1    1466  0   37 15:43 ?        00:00:13 /usr/sbin/mysqld
mysql       1409       1    1579  0   37 15:43 ?        00:00:00 /usr/sbin/mysqld
mysql       1409       1    1580  0   37 15:43 ?        00:00:00 /usr/sbin/mysqld
mysql       1409       1    1581  0   37 15:43 ?        00:00:00 /usr/sbin/mysqld
mysql       1409       1    1633  0   37 15:43 ?        00:00:00 /usr/sbin/mysqld
mysql       1409       1    1634  0   37 15:43 ?        00:00:00 /usr/sbin/mysqld
mysql       1409       1    1635  0   37 15:43 ?        00:00:00 /usr/sbin/mysqld
mysql       1409       1    1636  0   37 15:43 ?        00:00:00 /usr/sbin/mysqld
mysql       1409       1    1639  0   37 15:43 ?        00:00:00 /usr/sbin/mysqld
mysql       1409       1    1640  0   37 15:43 ?        00:00:00 /usr/sbin/mysqld
mysql       1409       1    1641  0   37 15:43 ?        00:00:00 /usr/sbin/mysqld
mysql       1409       1    1675  0   37 15:43 ?        00:00:00 /usr/sbin/mysqld
mysql       1409       1    1676  0   37 15:43 ?        00:00:01 /usr/sbin/mysqld
mysql       1409       1    1677  0   37 15:43 ?        00:00:00 /usr/sbin/mysqld
mysql       1409       1    1678  0   37 15:43 ?        00:00:00 /usr/sbin/mysqld
mysql       1409       1    1679  0   37 15:43 ?        00:00:00 /usr/sbin/mysqld
